ds,y
2018-10-04,5054.0
2018-10-05,5238.87
2018-10-06,5035.8056
2018-10-07,5187.0
2018-10-08,5238.87
2018-10-09,5320.0
2018-10-10,5299.784
2018-10-11,5282.627
2018-10-12,4907.966
2018-10-13,4674.0988
2018-10-14,4670.96
2018-10-15,5032.853
2018-10-16,2113.7557
2018-10-17,2113.7557
2018-10-18,2113.7557
2018-10-19,2261.0
2018-10-20,2128.0
2018-10-21,5266.4808
2018-10-22,5320.0
2018-10-23,2261.0
2018-10-24,2394.0
2018-10-25,2231.1548
2018-10-26,2394.0
2018-10-27,2261.0
2018-10-28,2378.3991
2018-10-29,5035.8056
2018-10-30,5187.0
2018-10-31,5320.0
2018-11-01,5320.0
2018-11-02,2261.0
2018-11-03,2128.0
2018-11-04,2394.0
2018-11-05,2394.0
2018-11-06,2793.0
2018-11-07,2660.0
2018-11-08,2128.0
2018-11-09,5187.0
2018-11-10,5187.0
2018-11-11,2128.0
2018-11-12,2128.0
2018-11-13,2128.0
2018-11-14,2128.0
2018-11-15,2394.0
2018-11-16,2394.0
2018-11-17,2207.401
2018-11-18,2128.0
2018-11-19,2128.0
2018-11-20,2128.0
2018-11-21,2502.7408
2018-11-22,2617.3336
2018-11-23,2527.0
2018-11-24,2394.0
2018-11-25,2527.0
2018-11-26,2527.0
2018-11-27,2231.1548
2018-11-28,3074.3615
2018-11-29,2793.0
2018-11-30,2394.0
2018-12-01,2527.0
2018-12-02,2793.0
2018-12-03,2793.0
2018-12-04,2362.7982
2018-12-05,2300.7005
2018-12-06,2261.0
2018-12-07,2128.0
2018-12-08,2394.0
2018-12-09,2527.0
2018-12-10,2394.0
2018-12-11,2394.0
2018-12-12,2527.0
2018-12-13,2527.0
2018-12-14,2722.8026
2018-12-15,2510.7208
2018-12-16,2176.5051
2018-12-17,2494.4416
2018-12-18,2494.4416
2018-12-19,2784.355
2018-12-20,2926.0
2018-12-21,2853.1027
2018-12-22,3059.0
2018-12-23,2394.0
2018-12-24,2246.0774
2018-12-25,2128.0
2018-12-26,2128.0
2018-12-27,2394.0
2018-12-28,2527.0
2018-12-29,2527.0
2018-12-30,2926.0
2018-12-31,2793.0
2019-01-01,3394.16
2019-01-02,2848.78286
2019-01-03,2932.65
2019-01-04,2561.58
2019-01-05,2979.2
2019-01-06,3032.4
2019-01-07,2956.59
2019-01-08,3128.16
2019-01-09,3072.3
2019-01-10,3044.37
2019-01-11,3511.2
2019-01-12,3211.95
2019-01-13,3214.199296
2019-01-14,3657.5
2019-01-15,2419.27
2019-01-16,2396.66
2019-01-17,2388.9061
2019-01-18,2681.28
2019-01-19,2633.4
2019-01-20,2609.46
2019-01-21,2628.08
2019-01-22,3295.74
2019-01-23,2979.2
2019-01-24,2776.378458
2019-01-25,3013.78
2019-01-26,3481.94
2019-01-27,3426.08
2019-01-28,3224.006051
2019-01-29,3295.74
2019-01-30,3072.3
2019-01-31,3126.286695
2019-02-01,2298.089444
2019-02-02,5993.8046
2019-02-03,5636.79536
2019-02-04,2614.2746
2019-02-05,2464.49
2019-02-06,2532.32
2019-02-07,2411.44295
2019-02-08,2276.22185
2019-02-09,2872.8
2019-02-10,2653.35
2019-02-11,2713.330872
2019-02-12,2952.6
2019-02-13,2832.336612
2019-02-14,2876.79
2019-02-15,3089.59
2019-02-16,3283.208208
2019-02-17,3335.64
2019-02-18,3189.34
2019-02-19,2766.4
2019-02-20,3044.37
2019-02-21,2736.685672
2019-02-22,5105.0587
2019-02-23,3887.692676
2019-02-24,2415.05124
2019-02-25,3136.161546
2019-02-26,3098.4744
2019-02-27,2880.78
2019-02-28,2394.0
2019-03-01,3072.3
2019-03-02,3072.3
2019-03-03,3267.81
2019-03-04,3051.225352
2019-03-05,5132.2572
2019-03-06,2478.19166
2019-03-07,2165.38231
2019-03-08,2509.826508
2019-03-09,2246.0774
2019-03-10,2410.65027
2019-03-11,2247.09485
2019-03-12,2464.49
2019-03-13,2431.958732
2019-03-14,2529.53365
2019-03-15,2513.7
2019-03-16,2441.88
2019-03-17,2577.54
2019-03-18,2754.43
2019-03-19,2979.2
2019-03-20,3085.6
2019-03-21,5547.2571
2019-03-22,2611.80612
2019-03-23,2705.006668
2019-03-24,2956.59
2019-03-25,2464.49
2019-03-26,3022.824
2019-03-27,5371.080512
2019-03-28,3202.00825
2019-03-29,2489.76
2019-03-30,2602.81
2019-03-31,2906.05
2019-04-01,2448.497415
2019-04-02,2577.54
2019-04-03,2854.07892
2019-04-04,2335.002796
2019-04-05,2641.92264
2019-04-06,2253.466348
2019-04-07,2298.7587
2019-04-08,2509.71
2019-04-09,2306.22
2019-04-10,2686.51488
2019-04-11,2374.05
2019-04-12,2513.7
2019-04-13,2690.59
2019-04-14,2501.59035
2019-04-15,2729.16
2019-04-16,2713.2
2019-04-17,2487.1
2019-04-18,6141.548714
2019-04-19,2276.96
2019-04-20,2519.23812
2019-04-21,2234.4
2019-04-22,2489.76
2019-04-23,2404.64
2019-04-24,2128.0
2019-04-25,2170.56
2019-04-26,2306.22
2019-04-27,2261.0
2019-04-28,6120.66
2019-04-29,6016.92
2019-04-30,5653.83
2019-05-01,5996.27042
2019-05-02,2311.909075
2019-05-03,6064.8
2019-05-04,2255.68
2019-05-05,2128.0
2019-05-06,5958.4
2019-05-07,5468.40406
2019-05-08,6286.644
2019-05-09,2622.76
2019-05-10,5757.57
2019-05-11,5812.1
2019-05-12,5462.31
2019-05-13,4883.76
2019-05-14,5363.89
2019-05-15,5117.84
2019-05-16,5757.57
2019-05-17,5068.63
2019-05-18,5862.64
2019-05-19,5708.36
2019-05-20,5862.64
2019-05-21,5458.32
2019-05-22,4931.64
2019-05-23,4970.21
2019-05-24,5660.48
2019-05-25,5508.86
2019-05-26,5508.86
2019-05-27,5455.887962
2019-05-28,4974.40216
2019-05-29,5205.62
2019-05-30,5199.45545
2019-05-31,5335.96
2019-06-01,4522.0
2019-06-02,4928.98
